t,status_R1,status_R2,status_R3,status_R4,status_R5,remaining_R1,remaining_R2,remaining_R3,remaining_R4,remaining_R5,needs_decision_R1,needs_decision_R2,needs_decision_R3,needs_decision_R4,needs_decision_R5,rc_L1,rc_L2,pipeline_L1,pipeline_L2,pipeline_mode_L1,pipeline_mode_L2,gc_L1_PSC,gc_L1_NDG,gc_L1_BUSTA,gc_L2_PSC,restock_busy
0,IDLE,SETUP,RUNNING,IDLE,IDLE,0,5,15,0,0,1,0,0,1,1,12,15,15,3,RESTOCK,CONSUME,20,5,5,19,15
1,IDLE,SETUP,RUNNING,IDLE,IDLE,0,4,14,0,0,1,0,0,1,1,12,15,14,2,RESTOCK,CONSUME,20,5,5,19,14
2,IDLE,SETUP,RUNNING,IDLE,IDLE,0,3,13,0,0,1,0,0,1,1,12,15,13,1,RESTOCK,CONSUME,20,5,5,19,13
3,IDLE,SETUP,RUNNING,RUNNING,IDLE,0,2,12,15,0,1,0,0,0,1,12,15,12,3,RESTOCK,CONSUME,20,5,5,18,12
4,IDLE,SETUP,RUNNING,RUNNING,IDLE,0,1,11,14,0,1,0,0,0,1,12,15,11,2,RESTOCK,CONSUME,20,5,5,18,11
5,IDLE,SETUP,RUNNING,RUNNING,IDLE,0,5,10,13,0,1,0,0,0,1,12,15,10,1,RESTOCK,CONSUME,20,5,5,18,10
6,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,4,9,12,15,1,0,0,0,0,12,15,9,3,RESTOCK,CONSUME,20,5,5,17,9
7,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,3,8,11,14,1,0,0,0,0,12,14,8,2,RESTOCK,CONSUME,20,5,5,17,8
8,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,2,7,10,13,1,0,0,0,0,11,14,7,1,RESTOCK,CONSUME,20,5,5,17,7
9,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,1,6,9,12,1,0,0,0,0,11,14,6,0,RESTOCK,FREE,20,5,5,17,6
10,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,5,5,8,11,1,0,0,0,0,11,14,5,0,RESTOCK,FREE,20,5,5,17,5
11,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,4,4,7,10,1,0,0,0,0,11,14,4,0,RESTOCK,FREE,20,5,5,17,4
12,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,3,3,6,9,1,0,0,0,0,11,14,3,0,RESTOCK,FREE,20,5,5,17,3
13,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,2,2,5,8,1,0,0,0,0,11,14,2,0,RESTOCK,FREE,20,5,5,17,2
14,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,1,1,4,7,1,0,0,0,0,11,14,1,0,RESTOCK,FREE,20,5,5,17,1
15,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,5,15,3,6,1,0,0,0,0,12,13,15,3,RESTOCK,CONSUME,20,10,5,16,15
16,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,4,14,2,5,1,0,0,0,0,11,13,14,2,RESTOCK,CONSUME,20,10,5,16,14
17,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,3,13,1,4,1,0,0,0,0,11,13,13,1,RESTOCK,CONSUME,20,10,5,16,13
18,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,2,12,15,3,1,0,0,0,0,11,14,12,3,RESTOCK,CONSUME,20,10,5,15,12
19,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,1,11,14,2,1,0,0,0,0,11,14,11,2,RESTOCK,CONSUME,20,10,5,15,11
20,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,5,10,13,1,1,0,0,0,0,11,14,10,1,RESTOCK,CONSUME,20,10,5,15,10
21,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,4,9,12,15,1,0,0,0,0,11,15,9,3,RESTOCK,CONSUME,20,10,5,14,9
22,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,3,8,11,14,1,0,0,0,0,11,15,8,2,RESTOCK,CONSUME,20,10,5,14,8
23,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,2,7,10,13,1,0,0,0,0,11,14,7,1,RESTOCK,CONSUME,20,10,5,14,7
24,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,1,6,9,12,1,0,0,0,0,10,14,6,0,RESTOCK,FREE,20,10,5,14,6
25,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,5,5,8,11,1,0,0,0,0,10,14,5,0,RESTOCK,FREE,20,10,5,14,5
26,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,4,4,7,10,1,0,0,0,0,10,14,4,0,RESTOCK,FREE,20,10,5,14,4
27,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,3,3,6,9,1,0,0,0,0,10,14,3,0,RESTOCK,FREE,20,10,5,14,3
28,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,2,2,5,8,1,0,0,0,0,10,14,2,0,RESTOCK,FREE,20,10,5,14,2
29,IDLE,SETUP,RUNNING,RUNNING,RUNNING,0,1,1,4,7,1,0,0,0,0,10,14,1,0,RESTOCK,FREE,20,10,5,14,1
30,RUNNING,SETUP,RUNNING,RUNNING,RUNNING,15,5,15,3,6,0,0,0,0,0,11,14,3,3,CONSUME,CONSUME,19,10,10,13,0
31,RUNNING,SETUP,RUNNING,RUNNING,RUNNING,14,4,14,2,5,0,0,0,0,0,11,13,2,2,CONSUME,CONSUME,19,10,10,13,0
32,RUNNING,SETUP,RUNNING,RUNNING,RUNNING,13,3,13,1,4,0,0,0,0,0,10,13,1,1,CONSUME,CONSUME,19,10,10,13,0
33,RUNNING,SETUP,RUNNING,RUNNING,RUNNING,12,2,12,15,3,0,0,0,0,0,10,14,0,3,FREE,CONSUME,19,10,10,12,0
34,RUNNING,SETUP,RUNNING,RUNNING,RUNNING,11,1,11,14,2,0,0,0,0,0,10,14,0,2,FREE,CONSUME,19,10,10,12,0
35,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,10,18,10,13,1,0,0,0,0,0,10,14,3,1,CONSUME,CONSUME,19,10,9,12,0
36,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,9,17,9,12,15,0,0,0,0,0,10,15,2,3,CONSUME,CONSUME,19,10,9,11,0
37,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,8,16,8,11,14,0,0,0,0,0,10,15,1,2,CONSUME,CONSUME,19,10,9,11,0
38,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,7,15,7,10,13,0,0,0,0,0,10,15,0,1,FREE,CONSUME,19,10,9,11,0
