cycle,episode,wall_sec,eval_profit,epsilon,tool_dist,healthy,reason
1,24967,3601.6,-382625.0,0.7365,"{""PSC_THROUGHPUT"": 0.047, ""GC_RESTOCK"": 0.0643, ""MTO_DEADLINE"": 0.0409, ""SETUP_AVOID"": 0.3233, ""WAIT"": 0.5245}",True,OK
1,22021,3601.1,-715455.0,0.7676,"{""PSC_THROUGHPUT"": 0.1538, ""GC_RESTOCK"": 0.0656, ""MTO_DEADLINE"": 0.0369, ""SETUP_AVOID"": 0.1972, ""WAIT"": 0.5466}",False,Profit -715455 below threshold -500000
1,21411,3601.6,-768120.0,0.774,"{""PSC_THROUGHPUT"": 0.1646, ""GC_RESTOCK"": 0.0521, ""MTO_DEADLINE"": 0.0078, ""SETUP_AVOID"": 0.1596, ""WAIT"": 0.6159}",False,Profit -768120 below threshold -500000
1,20520,3601.8,-105795.0,0.7834,"{""PSC_THROUGHPUT"": 0.0901, ""GC_RESTOCK"": 0.0433, ""MTO_DEADLINE"": 0.0422, ""SETUP_AVOID"": 0.1202, ""WAIT"": 0.7042}",True,OK
1,19992,3601.9,-917000.0,0.789,"{""PSC_THROUGHPUT"": 0.0421, ""GC_RESTOCK"": 0.015, ""MTO_DEADLINE"": 0.0027, ""SETUP_AVOID"": 0.0913, ""WAIT"": 0.8489}",False,Profit -917000 below threshold -500000
1,44948,7201.6,35225.0,0.5256,"{""PSC_THROUGHPUT"": 0.2028, ""GC_RESTOCK"": 0.084, ""MTO_DEADLINE"": 0.1015, ""SETUP_AVOID"": 0.2221, ""WAIT"": 0.3897}",True,OK
2,20360,7208.4,-650985.0,0.7851,"{""PSC_THROUGHPUT"": 0.1149, ""GC_RESTOCK"": 0.0585, ""MTO_DEADLINE"": 0.0115, ""SETUP_AVOID"": 0.2137, ""WAIT"": 0.6014}",False,Profit -650985 below threshold -500000
2,20451,7209.6,-795330.0,0.7841,"{""PSC_THROUGHPUT"": 0.1173, ""GC_RESTOCK"": 0.0613, ""MTO_DEADLINE"": 0.0057, ""SETUP_AVOID"": 0.2749, ""WAIT"": 0.5408}",False,Profit -795330 below threshold -500000
1,40565,7201.9,-9060.0,0.5718,"{""PSC_THROUGHPUT"": 0.4084, ""GC_RESTOCK"": 0.1016, ""MTO_DEADLINE"": 0.1423, ""SETUP_AVOID"": 0.1597, ""WAIT"": 0.1881}",True,OK
2,20406,7210.5,-848230.0,0.7846,"{""PSC_THROUGHPUT"": 0.0585, ""GC_RESTOCK"": 0.0501, ""MTO_DEADLINE"": 0.0043, ""SETUP_AVOID"": 0.1879, ""WAIT"": 0.6992}",False,Profit -848230 below threshold -500000
1,65293,10801.7,18045.0,0.3108,"{""PSC_THROUGHPUT"": 0.3644, ""GC_RESTOCK"": 0.1072, ""MTO_DEADLINE"": 0.1306, ""SETUP_AVOID"": 0.237, ""WAIT"": 0.1608}",True,OK
3,20952,10815.3,-765535.0,0.7789,"{""PSC_THROUGHPUT"": 0.2636, ""GC_RESTOCK"": 0.0665, ""MTO_DEADLINE"": 0.0381, ""SETUP_AVOID"": 0.1168, ""WAIT"": 0.515}",False,Profit -765535 below threshold -500000
3,21083,10816.4,-542740.0,0.7775,"{""PSC_THROUGHPUT"": 0.2148, ""GC_RESTOCK"": 0.0621, ""MTO_DEADLINE"": 0.0508, ""SETUP_AVOID"": 0.1188, ""WAIT"": 0.5536}",False,Profit -542740 below threshold -500000
1,60951,10802.0,71940.0,0.3566,"{""PSC_THROUGHPUT"": 0.3254, ""GC_RESTOCK"": 0.092, ""MTO_DEADLINE"": 0.1266, ""SETUP_AVOID"": 0.1826, ""WAIT"": 0.2734}",True,OK
3,21075,10818.0,-783300.0,0.7776,"{""PSC_THROUGHPUT"": 0.1606, ""GC_RESTOCK"": 0.0534, ""MTO_DEADLINE"": 0.001, ""SETUP_AVOID"": 0.1395, ""WAIT"": 0.6455}",False,Profit -783300 below threshold -500000
1,85962,14401.8,197890.0,0.0926,"{""PSC_THROUGHPUT"": 0.2956, ""GC_RESTOCK"": 0.0998, ""MTO_DEADLINE"": 0.0879, ""SETUP_AVOID"": 0.206, ""WAIT"": 0.3106}",True,OK
4,21448,14421.3,-777090.0,0.7736,"{""PSC_THROUGHPUT"": 0.1034, ""GC_RESTOCK"": 0.0595, ""MTO_DEADLINE"": 0.0049, ""SETUP_AVOID"": 0.2106, ""WAIT"": 0.6216}",False,Profit -777090 below threshold -500000
4,21493,14422.4,-918600.0,0.7731,"{""PSC_THROUGHPUT"": 0.0476, ""GC_RESTOCK"": 0.0434, ""MTO_DEADLINE"": 0.0029, ""SETUP_AVOID"": 0.208, ""WAIT"": 0.6981}",False,Profit -918600 below threshold -500000
1,81466,14402.2,-245100.0,0.1401,"{""PSC_THROUGHPUT"": 0.4568, ""GC_RESTOCK"": 0.0911, ""MTO_DEADLINE"": 0.1183, ""SETUP_AVOID"": 0.0739, ""WAIT"": 0.2599}",True,OK
4,21483,14424.2,-803485.0,0.7732,"{""PSC_THROUGHPUT"": 0.1654, ""GC_RESTOCK"": 0.0629, ""MTO_DEADLINE"": 0.017, ""SETUP_AVOID"": 0.207, ""WAIT"": 0.5477}",False,Profit -803485 below threshold -500000
1,107906,18001.8,186375.0,0.05,"{""PSC_THROUGHPUT"": 0.2681, ""GC_RESTOCK"": 0.1061, ""MTO_DEADLINE"": 0.0798, ""SETUP_AVOID"": 0.3106, ""WAIT"": 0.2354}",True,OK
5,23047,18027.3,-130880.0,0.7567,"{""PSC_THROUGHPUT"": 0.0664, ""GC_RESTOCK"": 0.0359, ""MTO_DEADLINE"": 0.0411, ""SETUP_AVOID"": 0.0862, ""WAIT"": 0.7704}",True,OK
5,23083,18029.6,-826105.0,0.7564,"{""PSC_THROUGHPUT"": 0.1314, ""GC_RESTOCK"": 0.052, ""MTO_DEADLINE"": 0.023, ""SETUP_AVOID"": 0.1547, ""WAIT"": 0.6389}",False,Profit -826105 below threshold -500000
1,102532,18002.3,-795570.0,0.05,"{""PSC_THROUGHPUT"": 0.3614, ""GC_RESTOCK"": 0.0607, ""MTO_DEADLINE"": 0.0354, ""SETUP_AVOID"": 0.0449, ""WAIT"": 0.4976}",False,Profit -795570 below threshold -500000
5,23184,18030.9,-758605.0,0.7553,"{""PSC_THROUGHPUT"": 0.0263, ""GC_RESTOCK"": 0.0385, ""MTO_DEADLINE"": 0.0273, ""SETUP_AVOID"": 0.1421, ""WAIT"": 0.7658}",False,Profit -758605 below threshold -500000
1,130229,21602.0,216525.0,0.05,"{""PSC_THROUGHPUT"": 0.3445, ""GC_RESTOCK"": 0.1072, ""MTO_DEADLINE"": 0.0881, ""SETUP_AVOID"": 0.2417, ""WAIT"": 0.2185}",True,OK
5,45967,21627.4,-198900.0,0.5148,"{""PSC_THROUGHPUT"": 0.355, ""GC_RESTOCK"": 0.0832, ""MTO_DEADLINE"": 0.1098, ""SETUP_AVOID"": 0.1268, ""WAIT"": 0.3252}",True,OK
6,23648,21636.8,-71055.0,0.7504,"{""PSC_THROUGHPUT"": 0.1632, ""GC_RESTOCK"": 0.0592, ""MTO_DEADLINE"": 0.0749, ""SETUP_AVOID"": 0.129, ""WAIT"": 0.5737}",True,OK
